ilkid,year,firstname,lastname,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,pf,fga,fgm,fta,ftm,tpa,tpm,allstar
BROWNGE02 ,1998,Gerald,Brown,PHO,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BROWNPJ01 ,1998,P.j.,Brown,MIA,gp-r,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BROWNRA01 ,1998,Randy,Brown,CHI,gp-r,minutes-r,pts-r,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BRUNSRI01 ,1998,Rick,Brunson,NYK,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BRYANKO01 ,1998,Kobe,Bryant,LAL,gp-r,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-b,NO
BRYANMA01 ,1998,Mark,Bryant,CHI,gp-r,minutes-b,pts-r,oreb-b,dreb-r,reb-b,asts-mr,stl-r,blk-r,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BUECHJU01 ,1998,Jud,Buechler,DET,gp-r,minutes-r,pts-r,oreb-mr,dreb-r,reb-r,asts-mr,stl-r,blk-r,pf-r,fga-r,fgm-r,fta-mr,ftm-mr,tpa-b,tpm-b,NO
BULLAMA01 ,1998,Matt,Bullard,HOU,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-b,tpm-b,NO
BURRESC01 ,1998,Scott,Burrell,NJN,gp-r,minutes-r,pts-mr,oreb-mr,dreb-r,reb-r,asts-mr,stl-r,blk-mr,pf-r,fga-r,fgm-mr,fta-mr,ftm-mr,tpa-b,tpm-b,NO
BURTOWI01 ,1998,Willie,Burton,CHA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BUTLEMI01 ,1998,Mitchell,Butler,CLE,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-r,tpm-r,NO
